BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
92,1.013979,Tặng cho quyền sử dụng đất cho Nhà nước hoặc cộng đồng dân cư hoặc mở rộng đường giao thông đối với trường hợp thửa đất chưa được cấp Giấy chứng nhận,Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
93,1.012836,"Hỗ trợ chi phí về vật tư phối giống nhân tạo gia súc gồm tinh đông lạnh, Nitơ lỏng, găng tay và dụng cụ dẫn tinh để phối giống cho trâu, bò cái; chi phí về liều tinh để thực hiện phối giống cho lợn nái, công cho người làm dịch vụ phối giống nhân tạo gia súc (trâu, bò)",Chăn nuôi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
94,1.003434,Hỗ trợ dự án liên kết (cấp xã),Kinh tế hợp tác và phát triển nông thôn,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
95,1.011606,"Công nhận hộ nghèo, hộ cận nghèo; hộ thoát nghèo, hộ thoát cận nghèo định kỳ hằng năm",Giảm nghèo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
96,1.004944,Chấm dứt việc chăm sóc thay thế cho trẻ em,Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
97,2.001947,"Phê duyệt kế hoạch hỗ trợ, can thiệp đối với trẻ em bị xâm hại hoặc có nguy cơ bị bạo lực, bóc lột, bỏ rơi và trẻ em có hoàn cảnh đặc biệt",Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
98,1.014028,Hỗ trợ chi phí mai táng đối với đối tượng hưởng trợ cấp hưu trí xã hội,Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
99,1.012422,"Đề nghị xét tặng Danh hiệu “Thầy thuốc Nhân dân”, “Thầy thuốc Ưu tú”","Thi đua, khen thưởng",Bộ Y tế,Cấp xã,,,,,,,
100,1.013734,Đăng ký hợp đồng lao động trực tiếp giao kết .,Quản lý lao động ngoài nước,Bộ Nội vụ,Cấp xã,,,,,,,
101,1.009465,Chấp thuận phương án bảo đảm an toàn giao thông,Hàng hải và đường thủy nội địa,Bộ Xây dựng,Cấp xã,,,,,,,
102,1.002372,Xác nhận việc trình kháng nghị hàng hải,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
103,1.014335,"Đề nghị miễn, giảm học phí trong cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học tư thục và cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học thuộc tổ chức kinh tế, doanh nghiệp nhà nước",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
104,1.014337,"Đề nghị hỗ trợ chi phí học tập trong cơ sở giáo dục mầm non dân lập, tư thục; trường tiểu học tư thục, trường trung học cơ sở tư thục, cơ sở giáo dục thường xuyên tư thục; cơ sở giáo dục mầm non, trường tiểu học, trung học cơ sở trong các trường đại học, cao đẳng, viện nghiên cứu",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
105,1.006391,Đăng ký lại phương tiện trong trường hợp chủ phương tiện thay đổi trụ sở hoặc nơi đăng ký hộ khẩu thường trú của chủ phương tiện sang đơn vị hành chính cấp tỉnh khác,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
106,1.004680,"Xác nhận nguồn gốc loài thủy sản thuộc Phụ lục Công ước quốc tế về buôn bán các loài động vật, thực vật hoang dã nguy cấp và các loài thủy sản nguy cấp, quý, hiếm có nguồn gốc từ nuôi trồng",Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
107,1.004656,"Xác nhận nguồn gốc loài thủy sản thuộc Phụ lục Công ước quốc tế về buôn bán các loài động vật, thực vật hoang dã nguy cấp; loài thủy sản nguy cấp, quý, hiếm có nguồn gốc khai thác từ tự nhiên",Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
108,1.004498,"Sửa đổi, bổ sung nội dung quyết định công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn quản lý)",Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
109,1.014864,"Cấp gia hạn, điều chỉnh nội dung giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi: Trồng cây lâu năm; Hoạt động của phương tiện thủy nội địa, phương tiện cơ giới, trừ xe mô tô, xe gắn máy, phương tiện thủy nội địa thô sơ do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
110,1.014863,"Cấp gia hạn, điều chỉnh nội dung giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi đối với hoạt động: du lịch, thể thao, nghiên cứu khoa học, kinh doanh, dịch vụ do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
111,1.014859,"Cấp giấy phép hoạt động của phương tiện thủy nội địa, phương tiện cơ giới, trừ xe mô tô, xe gắn máy, phương tiện thủy nội địa thô sơ trong phạm vi bảo vệ công trình thủy lợi do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
112,1.005040,Xác nhận trình báo đường thủy nội địa hoặc trình báo đường thủy nội địa bổ sung,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
113,1.014860,Cấp giấy phép cho các hoạt động trồng cây lâu năm trong phạm vi bảo vệ công trình thủy lợi do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã,Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
114,2.001217,"Đóng, không cho phép hoạt động tại vùng nước khác không thuộc vùng nước trên tuyến đường thủy nội địa, vùng nước cảng biển hoặc khu vực hàng hải, được đánh dấu, xác định vị trí bằng phao hoặc cờ hiệu có màu sắc dễ quan sát",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
115,2.001215,"Đăng ký phương tiện hoạt động vui chơi, giải trí dưới nước lần đầu",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
116,2.001218,"Công bố mở, cho phép hoạt động tại vùng nước khác không thuộc vùng nước trên tuyến đường thủy nội địa, vùng nước cảng biển hoặc khu vực hàng hải, được đánh dấu, xác định vị trí bằng phao hoặc cờ hiệu có màu sắc dễ quan sát",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
117,2.001211,"Xóa đăng ký phương tiện hoạt động vui chơi, giải trí dưới nước",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
118,2.001212,"Cấp lại Giấy chứng nhận đăng ký phương tiện hoạt động vui chơi, giải trí dưới nước",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
119,1.014852,Cấp giấy phép nổ mìn và các hoạt động gây nổ khác trong phạm vi bảo vệ công trình thủy lợi do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã,Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
120,1.009453,"Thỏa thuận thông số kỹ thuật xây dựng bến khách ngang sông, bến thủy nội địa phục vụ thi công công trình chính",Hàng hải và đường thủy nội địa,Bộ Xây dựng,Cấp xã,,,,,,,
121,1.014853,"Cấp gia hạn, điều chỉnh nội dung giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi: Nuôi trồng thủy sản; Nổ mìn và các hoạt động gây nổ khác do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
122,2.001214,"Đăng ký lại phương tiện hoạt động vui chơi, giải trí dưới nước",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
123,1.014851,"Cấp gia hạn, điều chỉnh nội dung giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi: Xây dựng công trình mới; Lập bến, bãi tập kết nguyên liệu, nhiên liệu, vật liệu, vật tư, phương tiện; Xây dựng công trình ngầm do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
124,1.004036,Đăng ký lại phương tiện trong trường hợp chuyển từ cơ quan đăng ký khác sang cơ quan đăng ký phương tiện thủy nội địa,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
125,1.014850,"Cấp giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi đối với hoạt động du lịch, thể thao, nghiên cứu khoa học, kinh doanh, dịch vụ do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
126,1.013232,"Cấp giấy phép di dời đối với công trình cấp III, cấp IV (Công trình không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",Hoạt động xây dựng,Bộ Xây dựng,Cấp xã,,,,,,,
127,1.012975,Cho phép cơ sở giáo dục khác thực hiện chương trình giáo dục phổ thông cấp tiểu học,Các cơ sở giáo dục khác,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
128,1.012971,Thành lập hoặc cho phép thành lập cơ sở giáo dục mầm non độc lập,Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
129,1.012969,Thành lập hoặc cho phép thành lập trung tâm học tập cộng đồng,Giáo dục thường xuyên,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
130,1.012964,"Thành lập hoặc cho phép thành lập trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở",Giáo dục trung học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
131,1.004827,Thủ tục đăng ký khai tử có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
132,1.004772,"Thủ tục đăng ký khai sinh cho người đã có hồ sơ, giấy tờ cá nhân",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
133,1.012963,Thành lập hoặc cho phép thành lập trường tiểu học,Giáo dục tiểu học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
134,2.002080,Thủ tục thanh toán thù lao cho hòa giải viên,Hòa giải ở cơ sở,Bộ Tư pháp,Cấp xã,,,,,,,
135,1.004746,Thủ tục đăng ký lại kết hôn,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
136,1.008725,"Chuyển đổi trường tiểu học tư thục, trường trung học cơ sở tư thục và trường phổ thông tư thục có nhiều cấp học có cấp học cao nhất là trung học cơ sở do nhà đầu tư trong nước đầu tư sang trường phổ thông tư thục hoạt động không vì lợi nhuận",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
137,1.012974,"Giải thể cơ sở giáo dục mầm non độc lập (theo đề nghị của tổ chức, cá nhân thành lập trường)",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
138,1.012968,"Giải thể trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở (Theo đề nghị của tổ chức, cá nhân thành lập trường)",Giáo dục trung học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
139,1.012967,"Sáp nhập, chia, tách trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở",Giáo dục trung học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
140,1.001766,Thủ tục đăng ký khai tử có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
141,2.000779,"Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
142,1.001695,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
143,1.001669,Thủ tục đăng ký giám hộ có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
144,2.000756,Thủ tục đăng ký chấm dứt giám hộ có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
145,2.000748,"Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
146,2.000554,"Thủ tục ghi vào Sổ hộ tịch việc ly hôn, hủy việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
147,2.000547,"Thủ tục ghi vào Sổ hộ tịch việc hộ tịch khác của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài (khai sinh; giám hộ; nhận cha, mẹ, con; xác định cha, mẹ, con; nuôi con nuôi; khai tử; thay đổi hộ tịch)",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
148,1.012973,"Sáp nhập, chia, tách cơ sở giáo dục mầm non độc lập",Giáo dục mầm non,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
149,1.012965,"Cho phép trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở hoạt động giáo dục",Giáo dục trung học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
150,2.000528,Thủ tục đăng ký khai sinh có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
151,2.000522,Thủ tục đăng ký lại khai sinh có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
152,2.000513,Thủ tục đăng ký lại kết hôn có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
153,2.000497,Thủ tục đăng ký lại khai tử có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
154,1.000689,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
155,1.000593,Thủ tục đăng ký kết hôn lưu động,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
156,1.000419,Thủ tục đăng ký khai tử lưu động,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
157,1.000110,Thủ tục đăng ký khai sinh có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
158,1.000094,Thủ tục đăng ký kết hôn có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
159,1.014359,"Giải quyết chế độ mai táng phí đối với dân công hỏa tuyến tham gia kháng chiến chống Pháp, chống Mỹ, chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
160,1.004964,"Giải quyết chế độ trợ cấp một lần đối với người được cử làm chuyên gia sang giúp Lào, Căm-pu-chi-a",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
161,2.002349,Cấp giấy xác nhận công dân Việt Nam thường trú ở khu vực biên giới đủ điều kiện nhận trẻ em của nước láng giềng cư trú ở khu vực biên giới làm con nuôi,Nuôi con nuôi,Bộ Tư pháp,Cấp xã,,,,,,,
162,3.000308,"Giải thể trung tâm học tập cộng đồng (theo đề nghị của tổ chức, cá nhân thành lập trung tâm)",Giáo dục thường xuyên,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
163,3.000307,"Sáp nhập, chia, tách trung tâm học tập cộng đồng",Giáo dục thường xuyên,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
164,2.001035,"Chứng thực giao dịch liên quan đến tài sản là động sản, quyền sử dụng đất, nhà ở",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
165,2.001406,"Chứng thực văn bản phân chia di sản mà di sản là động sản, quyền sử dụng đất, nhà ở",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
166,3.000315,Thành lập hoặc cho phép thành lập trung tâm khác thực hiện nhiệm vụ giáo dục thường xuyên,Giáo dục thường xuyên,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
167,3.000182,Tuyển sinh trung học cơ sở,Giáo dục trung học,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
168,1.005461,Đăng ký lại khai tử - cấp tinh,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
169,1.004837,Thủ tục đăng ký giám hộ,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
170,1.000656,Thủ tục đăng ký khai tử,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
171,1.004859,"Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
172,2.002284,"Cấp chính sách nội trú cho học sinh, sinh viên tham gia chương trình đào tạo trình độ cao đẳng, trung cấp tại các cơ sở giáo dục nghề nghiệp công lập trực thuộc xã",Giáo dục nghề nghiệp (g07-lđ06),Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
173,2.002165,Giải quyết yêu cầu bồi thường tại cơ quan trực tiếp quản lý người thi hành công vụ gây thiệt hại (cấp xã),Bồi thường nhà nước,Bộ Tư pháp,Cấp xã,,,,,,,
174,1.001714,"Cấp học bổng và hỗ trợ kinh phí mua phương tiện, đồ dùng học tập dùng riêng cho người khuyết tật học tại các cơ sở giáo dục",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
175,1.001022,"Thủ tục đăng ký nhận cha, mẹ, con",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
176,1.008950,"Trợ cấp đối với trẻ em mầm non là con công nhân, người lao động làm việc tại khu công nghiệp",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
177,1.003702,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
178,1.014336,"Đề nghị hỗ trợ chi phí học tập trong cơ sở giáo dục mầm non công lập, cơ sở giáo dục phổ thông công lập, cơ sở giáo dục công lập thực hiện chương trình giáo dục phổ thông",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
179,2.001960,"Cấp chính sách nội trú cho học sinh, sinh viên tham gia chương trình đào tạo trình độ cao đẳng, trung cấp tại các cơ sở giáo dục nghề nghiệp tư thục hoặc cơ sở giáo dục có vốn đầu tư nước ngoài",Giáo dục nghề nghiệp (g07-lđ06),Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
180,1.008951,"Hỗ trợ đối với giáo viên mầm non làm việc tại cơ sở giáo dục mầm non dân lập, tư thục ở địa bàn có khu công nghiệp",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
181,1.005090,Xét tuyển sinh vào trường phổ thông dân tộc nội trú,"Thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
182,2.001008,"Chứng thực chữ ký người dịch mà người dịch không phải là cộng tác viên dịch thuật của Ủy ban nhân dân cấp xã, tổ chức hành nghề công chứng",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
183,2.002771,"Xét duyệt trẻ em nhà trẻ bán trú hỗ trợ kinh phí, hỗ trợ gạo",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
184,1.012922,Kiểm tra hiện trường rừng trồng bị thiệt hại,Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
185,1.012531,"Hỗ trợ tín dụng đầu tư trồng rừng gỗ lớn đối với chủ rừng là hộ gia đình, cá nhân",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
186,1.007919,"Thẩm định thiết kế, dự toán công trình lâm sinh hoặc thẩm định điều chỉnh thiết kế, dự toán công trình lâm sinh sử dụng vốn đầu tư công đối với công trình lâm sinh thuộc dự án do Chủ tịch Ủy ban nhân dân cấp xã quyết định đầu tư",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
187,1.012694,Chuyển mục đích sử dụng rừng sang mục đích khác đối với cá nhân,Kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
188,1.011518,"Trả lại giấy phép thăm dò nước dưới đất, giấy phép khai thác tài nguyên nước .",Tài nguyên nước,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
189,2.002189,Thủ tục ghi vào Sổ hộ tịch việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
190,1.003583,Thủ tục đăng ký khai sinh lưu động,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
191,2.000806,Thủ tục đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
192,1.001662,Đăng ký khai thác nước dưới đất,Tài nguyên nước,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
193,1.012766,"Xóa đăng ký thuê, cho thuê lại quyền sử dụng đất trong dự án xây dựng kinh doanh kết cấu hạ tầng",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
194,1.012568,Giao tài sản kết cấu hạ tầng chợ do cấp xã quản lý,"Tài sản kết cấu hạ tầng chợ do nhà nước đầu tư, quản lý",Bộ Công thương,Cấp xã,,,,,,,
195,1.012569,Thu hồi tài sản kết cấu hạ tầng chợ,"Tài sản kết cấu hạ tầng chợ do nhà nước đầu tư, quản lý",Bộ Công thương,Cấp xã,,,,,,,
196,2.000206,"Thẩm định, phê duyệt phương án ứng phó thiên tai cho công trình vùng hạ du đập thủy điện thuộc thẩm quyền phê duyệt của Ủy ban nhân dân Cấp xã","An toàn đập, hồ chứa thuỷ điện",Bộ Công thương,Cấp xã,,,,,,,
197,1.013750,Thăm viếng mộ liệt sĩ.,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
198,1.010830,Di chuyển hài cốt liệt sĩ đang an táng ngoài nghĩa trang liệt sĩ về an táng tại nghĩa trang liệt sĩ theo nguyện vọng của đại diện thân nhân hoặc người hưởng trợ cấp thờ cúng liệt sĩ,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
199,2.002620,Thông báo về việc thực hiện hoạt động bán hàng không tại địa điểm giao dịch thường xuyên,Bảo vệ quyền lợi người tiêu dùng,Bộ Công thương,Cấp xã,,,,,,,
200,1.014848,Phê duyệt phương án bảo vệ công trình thủy lợi do Chủ tịch Ủy ban nhân dân cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã,Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
201,1.014275,"Tổ chức kinh tế nhận chuyển nhượng, thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử dụng đất để thực hiện dự án đầu tư.",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
202,1.014258,Xác nhận đăng ký thu hồi khoáng sản (cấp Xã),Địa chất và khoáng sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
203,1.013978,"Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với hộ gia đình, cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
204,1.013962,"Giao đất ở có thu tiền sử dụng đất không thông qua đấu giá, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất đối với cá nhân là cán bộ, công chức, viên chức, sĩ quan tại ngũ, quân nhân chuyên nghiệp, công chức quốc phòng, công nhân và viên chức quốc phòng, sĩ quan, hạ sĩ quan, công nhân công an, người làm công tác cơ yếu và người làm công tác khác trong tổ chức cơ yếu hưởng lương từ ngân sách nhà nước mà chưa được giao đất ở, nhà ở; giáo viên, nhân viên y tế đang công tác tại các xã biên giới, hải đảo thuộc vùng có điều kiện kinh tế - xã hội khó khăn, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn nhưng chưa có đất ở, nhà ở tại nơi công tác hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở; cá nhân thường trú tại xã mà không có đất ở và chưa được Nhà nước giao đất ở hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
205,1.013950,"Chuyển hình thức giao đất, cho thuê đất.",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
206,1.013949,"Giao đất, cho thuê đất, chuyển mục đích sử dụng đất đối với trường hợp giao đất, cho thuê đất không đấu giá quyền sử dụng đất, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; trường hợp giao đất, cho thuê đất thông qua đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; giao đất và giao rừng; cho thuê đất và cho thuê rừng, gia hạn sử dụng đất khi hết thời hạn sử dụng đất",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
207,1.013953,"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do sai sót về ranh giới, vị trí, diện tích, mục đích sử dụng giữa bản đồ quy hoạch, bản đồ địa chính, quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất và số liệu bàn giao đất trên thực địa",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
