BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
17,2.001921,"Chấp thuận vị trí, quy mô, kích thước, phương án tổ chức thi công biển quảng cáo, biển thông tin cổ động, tuyên truyền chính trị; chấp thuận xây dựng, lắp đặt công trình hạ tầng, công trình hạ tầng kỹ thuật sử dụng chung trong phạm vi bảo vệ kết cấu hạ tầng đường bộ; chấp thuận gia cường công trình đường bộ khi cần thiết để cho phép xe quá khổ giới hạn, xe quá tải trọng, xe bánh xích lưu hành trên đường bộ",Đường bộ,Bộ Xây dựng,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-a02c-754e-9e9e-afd5f23aa699,,,,,
18,1.006468,Thủ tục hải quan đối với hàng hoá kinh doanh tạm nhập-tái xuất,Hải quan,Bộ Tài chính,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-e738-701f-8479-c44536d19210,,,,,
19,"1,014942",THỦ TỤC CẤP GIẤY PHÉP THÀNH LẬP VÀ CÔNG NHẬN ĐIỀU LỆ QUỸ (Cấp xã),"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d9011-449a-721b-a7b9-8d28d0929df2,,,,,
20,1.004002,Đăng ký lại phương tiện trong trường hợp chuyển quyền sở hữu phương tiện nhưng không thay đổi cơ quan đăng ký phương tiện,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-3a7b-7789-9f25-1ec7a3f64d81,,,,,
21,"1,013798","THỦ TỤC ĐỀ NGHỊ GIẢNG ĐẠO NGOÀI ĐỊA BÀN PHỤ TRÁCH, CƠ SỞ TÔN GIÁO, ĐỊA ĐIỂM HỢP PHÁP ĐÃ ĐĂNG KÝ CÓ QUY MÔ TỔ CHỨC TRONG MỘT XÃ","Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-622d-76c9-8fd7-a6346328fdad,,,,,
22,"1,014945",THỦ TỤC CHO PHÉP QUỸ HOẠT ĐỘNG TRỞ LẠI SAU KHI BỊ ĐÌNH CHỈ CÓ THỜI HẠN HOẠT ĐỘNG (Cấp xã),"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d902a-3057-71a8-b6fb-f4ad467b5ab7,,,,,
23,1.014944,"THỦ TỤC CÔNG NHẬN ĐIỀU LỆ (SỬA ĐỔI, BỔ SUNG) QUỸ; ĐỔI TÊN QUỸ (Cấp xã)","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d9048-c72e-740c-8571-c3551cd436a2,,,,,
24,"1,014943","THỦ TỤC CÔNG NHẬN QUỸ ĐỦ ĐIỀU KIỆN HOẠT ĐỘNG VÀ CÔNG NHẬN HỘI ĐỒNG QUẢN LÝ QUỸ; CÔNG NHẬN HỘI ĐỒNG QUẢN LÝ QUỸ KHI THAY ĐỔI, BỔ SUNG THÀNH VIÊN HOẶC HẾT NHIỆM KỲ (Cấp xã)","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d9098-17f7-74b8-a942-7892a634e0b5,,,,,
25,"1,014158","Phê duyệt quy hoạch, điều chỉnh quy hoạch đô thị và nông thôn do nhà đầu tư đã được lựa  chọn để thực hiện dự án đầu tư tổ chức lập",Quy hoạch đô thị và nông thôn,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-9857-74ec-8c26-f832b4fce86b,,,,,
26,1.014946,"THỦ TỤC HỢP NHẤT, SÁP NHẬP, CHIA, TÁCH QUỸ (Cấp xã)","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d90b6-cf18-72c9-bb65-12e2e42a691a,,,,,
27,"2,001659",Xóa đăng ký phương tiện,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-a039-75a8-85e4-a19d8132bb5d,,,,,
28,1.012592,THỦ TỤC ĐĂNG KÝ HOẠT ĐỘNG TÍN NGƯỠNG (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-526e-75a6-bafe-148cf029f697,,,,,
29,1.012582,THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG ĐẾN ĐỊA BÀN XÃ KHÁC (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
30,1.012585,THỦ TỤC ĐĂNG KÝ THAY ĐỔI NGƯỜI ĐẠI DIỆN CỦA NHÓM SINH HOẠT TÔN GIÁO TẬP TRUNG (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
31,1.003970,Đăng ký lại phương tiện trong trường hợp chuyển quyền sở hữu phương tiện đồng thời thay đổi cơ quan đăng ký phương tiện,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
32,2.002363,Ghi vào Sổ đăng ký nuôi con nuôi việc nuôi con nuôi đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài,Nuôi con nuôi,Bộ Tư pháp,Cấp xã,,,,,,,
33,1.013227,"Gia hạn giấy phép xây dựng đối với công trình cấp III, cấp IV (công trình Không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Sửa chữa, cải tạo/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",Hoạt động xây dựng,Bộ Xây dựng,Cấp xã,,,,,,,
34,1.014157,"Thẩm định quy hoạch, điều chỉnh quy hoạch đô thị và nông thôn do nhà đầu tư đã được lựa chọn để thực hiện dự án đầu tư tổ chức lập",Quy hoạch đô thị và nông thôn,Bộ Xây dựng,Cấp xã,,,,,,,
35,1.012584,THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG TRONG ĐỊA BÀN MỘT XÃ (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
36,1.004088,Đăng ký phương tiện lần đầu đối với phương tiện chưa khai thác trên đường thủy nội địa,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
37,1.012837,"Phê duyệt hỗ trợ kinh phí đào tạo, tập huấn để chuyển đổi từ chăn nuôi sang các nghề khác; chi phí cho cá nhân được đào tạo về kỹ thuật phối giống nhân tạo gia súc (trâu, bò); chi phí mua bình chứa Nitơ lỏng bảo quản tinh cho người làm dịch vụ phối giống nhân tạo gia súc (trâu, bò) đối với các chính sách sử dụng vốn sự nghiệp nguồn ngân sách nhà nước",Chăn nuôi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
38,2.001711,"Đăng ký lại phương tiện trong trường hợp phương tiện thay đổi tên, tính năng kỹ thuật",Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
39,1.002693,"Cấp giấy phép chặt hạ, dịch chuyển cây xanh",Hạ tầng kỹ thuật,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
40,1.012898,Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp ký lại hợp đồng thuê,Nhà ở và công sở,Bộ Xây dựng,Cấp xã,,,,,,,
41,1.014632,"Đăng ký mua, thuê mua, thuê nhà ở xã hội, vay vốn để hộ gia đình, cá nhân tự xây dựng hoặc cải tạo, sửa chữa nhà ở",Nhà ở và công sở,Bộ Xây dựng,Cấp xã,,,,,,,
42,1.003930,Cấp lại Giấy chứng nhận đăng ký phương tiện,Hàng hải và đường thủy nội địa,Bộ xây dựng (Giao thông vận tải cũ),Cấp xã,,,,,,,
43,1.014862,Cấp giấy phép nuôi trồng thủy sản trong phạm vi bảo vệ công trình thủy lợi do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã,Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
44,1.014259,Quyết toán tiền cấp quyền khai thác khoáng sản (cấp Xã),Địa chất và khoáng sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
45,1.009791,Cho ý kiến về việc kéo dài thời hạn sử dụng của công trình hết thời hạn sử dụng theo thiết kế nhưng có nhu cầu sử dụng tiếp (trừ trường hợp nhà ở riêng lẻ),Quản lý chất lượng công trình xây dựng,Bộ Xây dựng,Cấp xã,,,,,,,
46,2.000815,"Chứng thực bản sao từ bản chính giấy tờ, văn bản do cơ quan, tổ chức có thẩm quyền của Việt Nam; cơ quan, tổ chức có thẩm quyền của nước ngoài; cơ quan, tổ chức có thẩm quyền của Việt Nam liên kết với cơ quan, tổ chức có thẩm quyền của nước ngoài cấp hoặc chứng nhận",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
